1.00,1.00,10.00,110.00,0.00,0.50,4.60,2.30,6.90
2.00,1.00,260.00,120.00,5.00,6.50,3.80,15.30,19.10
3.00,1.00,90.00,120.00,22.00,3.50,2.70,37.00,39.70
4.00,1.00,280.00,90.00,11.00,11.50,2.70,26.30,29.00
5.00,1.00,110.00,110.00,16.00,3.50,3.50,21.20,24.70
2.00,2.00,270.00,130.00,4.00,3.50,3.90,9.70,13.60
3.00,2.00,90.00,100.00,30.00,2.50,2.60,33.40,36.00
4.00,2.00,280.00,130.00,2.00,10.50,3.60,14.10,17.70
5.00,2.00,120.00,140.00,19.00,0.50,1.40,23.40,24.80
2.00,3.00,230.00,130.00,10.00,7.50,2.80,21.60,24.40
3.00,3.00,100.00,120.00,20.00,4.50,2.60,29.20,31.80
5.00,3.00,120.00,120.00,14.00,1.50,1.80,17.20,19.00
